seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
dradyx,https://dradyx.gumroad.com,2,2,1,3D > Avatars > Optimized,31,2,640,0.0151,1.0,1.0,1.0,1,0,https://dradyx.gumroad.com/l/yubsd,18,Novabeast Glasses Dradyx 5.0 (18) £0.74+
archivo,https://archivo.gumroad.com,1,1,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,31,1,641,0.0151,10.01,10.01,10.01,0,0,https://archivo.gumroad.com/l/floorplan-rendering-toolkit,31,Floor Plan Rendering Toolkit (Photoshop) Archivo 4.4 (31) £7.43
grafitcubeschool,https://grafitcubeschool.gumroad.com,1,3,3,3D > 3D Assets > Blender,31,1,642,0.0151,280.4,280.4,280.4,0,0,https://grafitcubeschool.gumroad.com/l/blender25d,31,Insane 2.5D Blender – Early Access – 7 Chapters with 40% OFF – Code EA
grossehalbuer,https://grossehalbuer.gumroad.com,1,1,1,Design > Graphics > Textures & Patterns (2D),31,1,643,0.0151,13.84,13.84,13.84,0,0,https://grossehalbuer.gumroad.com/l/NOEfPr,31,"Make Some Noise - Grain and noise textures for Photoshop, Procreate &"
projectnextrace,https://projectnextrace.gumroad.com,1,1,1,Gaming,31,1,644,0.0151,5.51,5.51,5.51,0,0,https://projectnextrace.gumroad.com/l/fr26,31,FR26 - BeamNG.drive vehicle mod PROJECTNEXTRACE 4.3 (31) £4.09+
inkblitz,https://inkblitz.gumroad.com,19,25,11,3D > 3D Assets > Clothing > Outfits,30,9,645,0.0146,12.01,2.0,16.03,2,0,https://inkblitz.gumroad.com/l/graphex,5,"Graphex Set (Hoodie, Pants, T-shirt, Paint Can) Inked Creations 4.2 (5"
kumail,https://kumail.gumroad.com,5,7,6,Business & Money > Personal Finance,30,5,646,0.0146,39.05,19.03,39.07,0,0,https://kumail.gumroad.com/l/360,17,235 left McKinsey in 360 Prompts - A Consultant’s Playbook Kyle Maddie
tharlevfx,https://tharlevfx.gumroad.com,5,5,1,3D > 3D Assets > Unreal Engine,30,4,647,0.0146,99.14,50.07,225.32,0,0,https://tharlevfx.gumroad.com/l/ue5materialsbundle,13,Unreal 5 Materials Course Bundle! tharlevfx 5.0 (13) £73.62+
francescoparrino,https://francescoparrino.gumroad.com,3,3,2,Music & Sound Design > Sound Design > Courses,30,3,648,0.0146,50.08,5.01,60.1,0,0,https://francescoparrino.gumroad.com/l/CustomSheetMusic,26,Custom Sheet Music (Per Minute) You'd love to play your favorite song
abletonkurse,https://abletonkurse.gumroad.com,2,3,2,Music & Sound Design > Sound Design > Plugins > Ableton Live,30,2,649,0.0146,32.56,25.05,40.08,0,0,https://abletonkurse.gumroad.com/l/Live-Looping-with-Ableton-Live,28,One Button Live Looping with Ableton Live - Max for Live device Ableto
cannonman,https://cannonman.gumroad.com,2,2,2,Gaming > Streaming,30,2,650,0.0146,0.0,0.0,0.0,2,0,https://cannonman.gumroad.com/l/wivlsl,17,Earth Diamond Edition - 867 Unique biomes - Multiple sizes up to 1:300
yesbergerplease,https://yesbergerplease.gumroad.com,2,2,1,Music & Sound Design > Instruments > Piano,30,2,651,0.0146,40.58,22.05,59.11,0,0,https://yesbergerplease.gumroad.com/l/spicy-secondary-dominants,27,Secondary Dominants at Your Fingertips – Piano Course yesbergerplease
zelfine,https://zelfine.gumroad.com,2,2,1,3D > VRChat > Worlds,30,2,652,0.0146,32.55,30.05,35.05,0,0,https://zelfine.gumroad.com/l/foliagenook,19,Foliage Nook (YouTube Search) zelf 5.0 (19) £26.03+
beonlabs,https://beonlabs.gumroad.com,1,2,2,Music & Sound Design > Sound Design > Plugins > Ableton Live,30,1,653,0.0146,4.0,4.0,4.0,0,0,https://beonlabs.gumroad.com/l/theplaylister,30,THE PLAYLISTER Beon Labs 4.7 (30) £2.97+
cinedidacta,https://cinedidacta.gumroad.com,1,1,1,Films > Videography,30,1,654,0.0146,56.56,56.56,56.56,0,0,https://cinedidacta.gumroad.com/l/filmmaker-360,30,Filmmaker 360: planifica tu producción audiovisual paso a paso (2026)
coacherika,https://coacherika.gumroad.com,1,1,1,"Business & Money > Networking, Careers & Jobs",30,1,655,0.0146,197.28,197.28,197.28,0,0,https://coacherika.gumroad.com/l/first-round-ready-course,30,First Round Ready Coach Erika 5.0 (30) £146.49
sidebrain,https://sidebrain.gumroad.com,1,3,3,Music & Sound Design > Sound Design > Plugins > Ableton Live,30,1,656,0.0146,32.05,32.05,32.05,0,0,https://sidebrain.gumroad.com/l/xyAAD,30,Composition Power Tools by Side Brain Side Brain 5.0 (30) £23.80
toyagogo,https://toyagogo.gumroad.com,1,1,1,Drawing & Painting > Traditional Art,30,1,657,0.0146,35.05,35.05,35.05,0,0,https://toyagogo.gumroad.com/l/robotdesigncourse,30,Learn to Draw Robots & Mecha - An Essential Course Len Nicholas (toyag
wellnessayoa,https://wellnessayoa.gumroad.com,1,2,2,Education > Test Prep,30,1,658,0.0146,32.05,32.05,32.05,0,0,https://wellnessayoa.gumroad.com/l/piplu,30,PASS WITH AYO — LCSW ASWB High-Yield Topic Guide (2026 - 2027 Exam Cyc
anotherxlife,https://anotherxlife.gumroad.com,9,9,1,Music & Sound Design > Sound Design > Plugins > FL Studio,29,7,659,0.0141,16.03,16.03,120.22,0,0,https://anotherxlife.gumroad.com/l/shake-flstudio-visualizer-template,13,Shake - FL Studio audio visualizer template anotherxlife 5.0 (13) £11.
braverabbit,https://braverabbit.gumroad.com,2,2,1,3D > Animating,29,2,660,0.0141,14.05,8.08,20.03,0,0,https://braverabbit.gumroad.com/l/brSmoothWeightsMaya,27,brSmoothWeights for Maya brSmoothWeights is a plug-in for Autodesk May
softbutters,https://softbutters.gumroad.com,2,3,2,3D > VRChat > Worlds > Assets,29,2,661,0.0141,10.02,5.01,15.02,0,0,https://softbutters.gumroad.com/l/MohackForNovaBeast,22,3 in One MohackPack SoftButters 5.0 (22) £11.15+
